№   Дата/время         Температура    Осадки (мм) 
1   2026-05-08 00:00   16.40          0.00        
2   2026-05-08 01:00   15.90          0.00        
3   2026-05-08 02:00   15.20          0.00        
4   2026-05-08 03:00   14.30          0.00        
5   2026-05-08 04:00   13.70          0.00        
6   2026-05-08 05:00   13.80          0.00        
7   2026-05-08 06:00   15.20          0.00        
8   2026-05-08 07:00   17.40          0.00        
9   2026-05-08 08:00   19.40          0.00        
10  2026-05-08 09:00   21.30          0.00        
11  2026-05-08 10:00   21.70          0.00        
12  2026-05-08 11:00   21.80          0.00        
13  2026-05-08 12:00   22.80          0.00        
14  2026-05-08 13:00   21.70          0.00        
15  2026-05-08 14:00   21.20          0.00        
16  2026-05-08 15:00   20.30          0.00        
17  2026-05-08 16:00   19.50          0.00        
18  2026-05-08 17:00   18.10          0.00        
19  2026-05-08 18:00   16.50          0.00        
20  2026-05-08 19:00   14.20          0.00        
21  2026-05-08 20:00   11.80          0.00        
22  2026-05-08 21:00   10.90          0.00        
23  2026-05-08 22:00   10.10          0.00        
24  2026-05-08 23:00   8.80           0.00        
